ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
42037#52,0#blue-collar#married#secondary#no#2230,0#no#no#cellular#29#oct#3,0#-1,0#0#unknown#yes
31525#54,0#admin.#married#secondary#no#1342,0#yes#no#cellular#2#apr#1,0#-1,0#0#unknown#no
19900#57,0#services#married#secondary#no#504,0#no#no#cellular#8#aug#2,0#-1,0#0#unknown#no
31359#31,0#technician#married#secondary#no#180,0#no#no#cellular#17#mar#2,0#-1,0#0#unknown#yes
315#33,0#admin.#single#tertiary#no#193,0#no#no#unknown#5#may#2,0#-1,0#0#unknown#no
38057##blue-collar#married#secondary#no#343,0#yes#no#telephone#14#may#7,0#365,0#7#failure#no
12284#29,0#blue-collar#married#secondary#no#214,0#yes#yes#unknown#25#jun#5,0#-1,0#0#unknown#no
27017#50,0#self-employed#divorced#secondary#no#985,0#yes#yes#telephone#21#nov#1,0#-1,0#0#unknown#no
25831#42,0#admin.#married#secondary#no#196,0#yes#yes#cellular#19#nov#1,0#-1,0#0#unknown#no
22725#46,0#management#married#secondary#no#0,0#no#no#telephone#25#aug#10,0#-1,0#0#unknown#no
35874#49,0#blue-collar#married#secondary#no#-202,0#yes#yes#cellular#8#may#2,0#170,0#5#failure#no
21017#47,0#management#married#tertiary#no#3681,0#no#no#cellular#14#aug#2,0#-1,0#0#unknown#no
40433#33,0#technician#married#secondary#no#3000,0#yes#yes#cellular#2#jul#1,0#-1,0#0#unknown#no
24395#46,0#management#married#secondary#no#1306,0#yes#no#telephone#17#nov#1,0#-1,0#0#unknown#no
32801#34,0#management#married#tertiary#no#520,0#yes#no#cellular#17#apr#1,0#248,0#4#success#no
29773#56,0#blue-collar#married#primary#no#115,0#no#no#telephone#4#feb#1,0#-1,0#0#unknown#no
41186#34,0#self-employed#single#tertiary#no#9962,0#no#no#cellular#20#aug#1,0#-1,0#0#unknown#yes
7479#58,0#technician#married#secondary#no#4299,0#yes#no#unknown#29#may#3,0#-1,0#0#unknown#no
32249##management#divorced#tertiary#no#267,0#yes#yes#cellular#16#apr#1,0#-1,0#0#unknown#no
23784#36,0#technician#married#secondary#no#216,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
44482#52,0#technician#married#tertiary#no#0,0#no#no#cellular#9#aug#3,0#94,0#4#success#no
2004#30,0#admin.#married#secondary#no#15,0#yes#no#unknown#9#may#1,0#-1,0#0#unknown#no
32068#33,0#blue-collar#single#secondary#no#1254,0#yes#no#cellular#14#apr#1,0#-1,0#0#unknown#no
9971#37,0#services#married#secondary#no#651,0#no#no#unknown#9#jun#2,0#-1,0#0#unknown#no
26203#38,0#technician#single#tertiary#no#5122,0#yes#no#cellular#20#nov#1,0#184,0#1#failure#no
21743#30,0#management#married#tertiary#no#151,0#no#no#cellular#19#aug#4,0#-1,0#0#unknown#no
18753#56,0#technician#married#tertiary#yes#-736,0#no#no#cellular#31#jul#8,0#-1,0#0#unknown#no
778#45,0#management#married#tertiary#no#103,0#yes#no#unknown#7#may#4,0#-1,0#0#unknown#no
38789#33,0#blue-collar#married#secondary#no#523,0#yes#no#cellular#18#may#5,0#360,0#5#failure#no
21002#35,0#management#single#secondary#no#1189,0#no#yes#cellular#14#aug#2,0#-1,0#0#unknown#no
14590#53,0#blue-collar#married#secondary#no#0,0#no#yes#telephone#15#jul#4,0#-1,0#0#unknown#no
12436##management#married#tertiary#no#0,0#no#no#unknown#30#jun#2,0#-1,0#0#unknown#no
804#37,0#blue-collar#single#secondary#no#238,0#yes#no#unknown#7#may#2,0#-1,0#0#unknown#no
995#29,0#blue-collar#married#secondary#no#313,0#yes#yes#unknown#7#may#1,0#-1,0#0#unknown#no
41726#34,0#blue-collar#single#unknown#no#484,0#no#no#cellular#8#oct#1,0#-1,0#0#unknown#no
21422##blue-collar#married#primary#no#418,0#no#no#cellular#18#aug#7,0#-1,0#0#unknown#no
916#43,0#admin.#single#secondary#no#140,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
3297#60,0#entrepreneur#divorced#secondary#no#80,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
32112#32,0#services#married#secondary#no#1129,0#yes#no#cellular#15#apr#2,0#341,0#2#failure#yes
26193#32,0#technician#married#tertiary#no#4654,0#yes#yes#cellular#20#nov#1,0#128,0#2#failure#yes
2635#47,0#blue-collar#married#unknown#no#1045,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
10979#39,0#self-employed#married#secondary#no#1317,0#no#no#unknown#17#jun#4,0#-1,0#0#unknown#no
30921#33,0#housemaid#single#secondary#no#191,0#no#no#cellular#9#feb#2,0#-1,0#0#unknown#no
4550#36,0#technician#divorced#secondary#no#566,0#yes#no#unknown#20#may#2,0#-1,0#0#unknown#no
8218#40,0#admin.#single#secondary#no#90,0#yes#no#unknown#2#jun#4,0#-1,0#0#unknown#no
19055#46,0#admin.#married#secondary#no#0,0#no#no#cellular#5#aug#1,0#-1,0#0#unknown#no
12614#26,0#admin.#married#secondary#no#-401,0#yes#yes#unknown#4#jul#1,0#-1,0#0#unknown#no
24933#36,0#management#married#tertiary#no#51,0#yes#no#cellular#18#nov#1,0#-1,0#0#unknown#no
32545#41,0#technician#married#secondary#no#359,0#yes#no#cellular#17#apr#1,0#-1,0#0#unknown#no
31039#26,0#management#single#tertiary#no#1222,0#no#yes#cellular#11#feb#1,0#-1,0#0#unknown#no
44442#45,0#blue-collar#single#secondary#no#0,0#no#no#cellular#5#aug#2,0#472,0#1#success#yes
20371#55,0#services#married#secondary#no#2120,0#no#no#cellular#11#aug#3,0#-1,0#0#unknown#no
44056#42,0#technician#married#secondary#no#2152,0#no#no#cellular#1#jul#2,0#93,0#4#failure#no
7944#53,0#blue-collar#married#secondary#no#1103,0#yes#yes#unknown#30#may#4,0#-1,0#0#unknown#no
15011#42,0#services#married#primary#no#0,0#no#no#cellular#17#jul#1,0#-1,0#0#unknown#no
3235#46,0#management#single#secondary#no#244,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
12916#52,0#unemployed#married#tertiary#no#1023,0#no#no#cellular#7#jul#6,0#-1,0#0#unknown#no
41089#33,0#technician#married#tertiary#no#300,0#no#no#cellular#14#aug#3,0#-1,0#0#unknown#no
6521#30,0#self-employed#single#tertiary#no#2593,0#no#no#unknown#27#may#7,0#-1,0#0#unknown#no
15581#32,0#technician#single#secondary#no#648,0#no#yes#cellular#21#jul#1,0#-1,0#0#unknown#no
42676#50,0#admin.#married#secondary#no#2955,0#no#no#cellular#14#jan#1,0#-1,0#0#unknown#no
4530#22,0#services#married#secondary#no#14,0#yes#yes#unknown#20#may#1,0#-1,0#0#unknown#no
34780#57,0#retired#married#primary#no#0,0#yes#no#cellular#6#may#2,0#273,0#2#failure#no
27918#28,0#management#married#tertiary#no#264,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
4733#32,0#blue-collar#married#secondary#no#2561,0#yes#no#unknown#20#may#2,0#-1,0#0#unknown#no
24923#34,0#management#single#tertiary#no#1494,0#yes#no#cellular#18#nov#1,0#182,0#1#other#yes
14583#42,0#management#married#tertiary#no#-100,0#yes#no#cellular#15#jul#5,0#-1,0#0#unknown#no
11247#44,0#blue-collar#married#secondary#no#-448,0#yes#no#unknown#18#jun#2,0#-1,0#0#unknown#no
34789#31,0#services#single#secondary#no#864,0#yes#no#cellular#6#may#1,0#-1,0#0#unknown#no
25931#37,0#technician#single#tertiary#no#3943,0#no#no#cellular#19#nov#1,0#-1,0#0#unknown#no
20355#59,0#technician#married#secondary#no#478,0#no#no#cellular#11#aug#5,0#-1,0#0#unknown#no
4014#32,0#admin.#married#secondary#no#193,0#yes#no#unknown#16#may#4,0#-1,0#0#unknown#no
12750#44,0#blue-collar#married#primary#no#2,0#no#yes#telephone#7#jul#2,0#-1,0#0#unknown#no
22670#45,0#blue-collar#married#primary#no#185,0#no#no#cellular#25#aug#4,0#-1,0#0#unknown#no
17394#34,0#entrepreneur#married#secondary#no#3994,0#no#yes#cellular#28#jul#3,0#-1,0#0#unknown#no
11951#47,0#management#divorced#tertiary#no#2515,0#no#no#unknown#20#jun#3,0#-1,0#0#unknown#no
1662#51,0#unemployed#divorced#secondary#no#370,0#no#no#unknown#9#may#1,0#-1,0#0#unknown#no
26906#41,0#technician#married#secondary#no#190,0#no#no#cellular#21#nov#7,0#-1,0#0#unknown#no
15448#53,0#blue-collar#married#primary#no#225,0#no#no#cellular#18#jul#7,0#-1,0#0#unknown#no
19527#55,0#housemaid#married#primary#no#17,0#no#no#cellular#7#aug#2,0#-1,0#0#unknown#no
42820#29,0#technician#married#secondary#no#1599,0#yes#no#cellular#1#feb#2,0#96,0#3#failure#no
23533#36,0#management#married#tertiary#no#659,0#no#no#cellular#28#aug#13,0#-1,0#0#unknown#no
3712#42,0#admin.#divorced#secondary#no#63,0#no#no#unknown#16#may#6,0#-1,0#0#unknown#no
41298#43,0#management#single#tertiary#no#1696,0#yes#no#cellular#26#aug#1,0#474,0#3#failure#yes
20506#32,0#technician#single#secondary#no#-114,0#no#no#cellular#12#aug#2,0#-1,0#0#unknown#no
14491#34,0#services#married#secondary#no#0,0#yes#no#cellular#14#jul#4,0#-1,0#0#unknown#no
7982#50,0#blue-collar#divorced#secondary#no#571,0#yes#no#unknown#2#jun#4,0#-1,0#0#unknown#no
2257#42,0#management#divorced#tertiary#no#1750,0#yes#no#unknown#12#may#2,0#-1,0#0#unknown#no
38977#35,0#technician#married#secondary#no#1092,0#no#no#cellular#18#may#1,0#360,0#1#failure#no
25844#50,0#admin.#divorced#primary#no#8583,0#yes#no#cellular#19#nov#1,0#-1,0#0#unknown#no
45206#25,0#technician#single#secondary#no#505,0#no#yes#cellular#17#nov#2,0#-1,0#0#unknown#yes
31574#54,0#management#married#secondary#no#1150,0#no#no#cellular#3#apr#1,0#-1,0#0#unknown#no
22495#30,0#management#married#tertiary#no#696,0#no#no#cellular#22#aug#4,0#-1,0#0#unknown#no
34036#30,0#admin.#single#secondary#no#270,0#no#no#cellular#30#apr#1,0#80,0#1#success#yes
19276#47,0#unknown#married#unknown#no#270,0#no#no#cellular#6#aug#2,0#-1,0#0#unknown#no
38605##admin.#married#secondary#no#0,0#yes#no#cellular#15#may#8,0#366,0#7#other#no
24376#59,0#retired#married#tertiary#no#135,0#yes#no#unknown#17#nov#1,0#-1,0#0#unknown#no
34519#66,0#admin.#single#secondary#no#10177,0#no#no#cellular#5#may#4,0#-1,0#0#unknown#no
4648#39,0#management#married#tertiary#no#351,0#yes#no#unknown#20#may#3,0#-1,0#0#unknown#no
34618#44,0#blue-collar#single#primary#no#38,0#yes#no#cellular#5#may#4,0#-1,0#0#unknown#no
3493#56,0#blue-collar#single#primary#no#739,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
19173#30,0#management#single#tertiary#no#552,0#yes#no#cellular#5#aug#2,0#-1,0#0#unknown#no
7497#34,0#blue-collar#married#primary#no#425,0#yes#no#unknown#29#may#6,0#-1,0#0#unknown#no
23664#30,0#technician#divorced#secondary#no#3028,0#yes#no#cellular#28#aug#5,0#-1,0#0#unknown#no
37797#37,0#admin.#divorced#secondary#no#141,0#yes#no#cellular#14#may#1,0#-1,0#0#unknown#no
33997#29,0#management#single#tertiary#no#91,0#no#no#cellular#30#apr#1,0#274,0#4#other#no
16871#32,0#services#married#secondary#yes#-220,0#yes#yes#cellular#25#jul#2,0#-1,0#0#unknown#no
20479#30,0#management#single#secondary#no#24,0#no#no#cellular#12#aug#4,0#-1,0#0#unknown#no
15179#32,0#management#single#secondary#no#0,0#yes#no#cellular#17#jul#5,0#-1,0#0#unknown#no
2203#25,0#technician#single#secondary#no#276,0#yes#no#unknown#12#may#4,0#-1,0#0#unknown#no
14369#43,0#housemaid#married#primary#no#1491,0#no#no#telephone#14#jul#3,0#-1,0#0#unknown#no
19758#41,0#technician#married#tertiary#no#1517,0#no#no#cellular#8#aug#3,0#-1,0#0#unknown#yes
18868#45,0#blue-collar#married#unknown#no#0,0#no#no#cellular#4#aug#1,0#-1,0#0#unknown#no
13238#34,0#technician#single#secondary#yes#-2,0#no#yes#cellular#8#jul#1,0#-1,0#0#unknown#no
40115#31,0#management#single#tertiary#no#623,0#no#no#cellular#4#jun#1,0#-1,0#0#unknown#no
14258#60,0#retired#married#secondary#no#2674,0#no#no#cellular#14#jul#2,0#-1,0#0#unknown#no
41179#47,0#housemaid#divorced#secondary#no#80,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
28847#54,0#technician#divorced#secondary#no#-191,0#no#no#cellular#30#jan#1,0#-1,0#0#unknown#no
39190##blue-collar#divorced#secondary#no#865,0#yes#no#cellular#18#may#2,0#-1,0#0#unknown#no
11768#58,0#retired#married#secondary#no#5523,0#no#no#unknown#20#jun#1,0#-1,0#0#unknown#no
31244#56,0#retired#married#tertiary#no#281,0#no#no#cellular#3#mar#2,0#-1,0#0#unknown#yes
25266#49,0#management#married#tertiary#no#1430,0#no#no#cellular#18#nov#2,0#-1,0#0#unknown#no
29945#22,0#admin.#single#tertiary#no#897,0#yes#no#cellular#4#feb#4,0#-1,0#0#unknown#yes
29554##technician#single#tertiary#no#1369,0#yes#no#cellular#3#feb#3,0#-1,0#0#unknown#no
38762##admin.#single#secondary#no#3029,0#yes#no#cellular#18#may#6,0#-1,0#0#unknown#no
40604#58,0#housemaid#married#primary#no#4605,0#no#no#cellular#4#aug#1,0#-1,0#0#unknown#no
32118#33,0#management#married#secondary#no#336,0#no#no#cellular#15#apr#3,0#-1,0#0#unknown#yes
8833#30,0#self-employed#married#tertiary#no#543,0#yes#yes#unknown#4#jun#6,0#-1,0#0#unknown#yes
19659#51,0#retired#married#secondary#no#0,0#no#no#cellular#7#aug#4,0#-1,0#0#unknown#no
24949#45,0#technician#divorced#secondary#no#5862,0#yes#no#cellular#18#nov#1,0#110,0#3#other#no
42407#28,0#services#single#secondary#no#339,0#no#no#cellular#3#dec#1,0#182,0#1#success#yes
29427#36,0#blue-collar#married#secondary#no#414,0#no#no#cellular#3#feb#3,0#-1,0#0#unknown#no
19165#54,0#management#married#tertiary#no#0,0#no#no#cellular#5#aug#3,0#-1,0#0#unknown#no
44647#22,0#services#single#secondary#no#361,0#no#no#telephone#1#sep#1,0#86,0#6#failure#no
26697#49,0#unemployed#married#tertiary#no#-471,0#yes#no#cellular#20#nov#3,0#185,0#7#failure#no
14006##student#single#tertiary#no#-113,0#no#no#cellular#10#jul#3,0#-1,0#0#unknown#no
9205#40,0#self-employed#married#tertiary#no#1750,0#no#no#unknown#5#jun#1,0#-1,0#0#unknown#no
20359#42,0#management#married#tertiary#no#1161,0#no#no#cellular#11#aug#5,0#-1,0#0#unknown#no
7388##blue-collar#married#primary#no#684,0#yes#no#unknown#29#may#2,0#-1,0#0#unknown#no
17088#54,0#management#married#secondary#no#1134,0#yes#no#cellular#25#jul#3,0#-1,0#0#unknown#yes
33062#38,0#blue-collar#single#secondary#no#13156,0#yes#no#cellular#17#apr#4,0#331,0#1#failure#no
3858#32,0#blue-collar#single#primary#no#100,0#yes#no#unknown#16#may#2,0#-1,0#0#unknown#no
3047#47,0#services#divorced#secondary#no#430,0#yes#yes#unknown#14#may#1,0#-1,0#0#unknown#no
20498#41,0#management#married#tertiary#no#557,0#yes#yes#cellular#12#aug#4,0#-1,0#0#unknown#no
42717#50,0#management#married#tertiary#no#5969,0#no#no#cellular#25#jan#1,0#544,0#2#failure#yes
13112#25,0#blue-collar#married#secondary#no#101,0#no#yes#cellular#8#jul#3,0#-1,0#0#unknown#yes
1857#53,0#blue-collar#married#secondary#no#-135,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
23033#49,0#services#married#secondary#no#0,0#no#no#cellular#26#aug#4,0#-1,0#0#unknown#no
33617#42,0#management#divorced#secondary#no#317,0#yes#no#cellular#20#apr#3,0#-1,0#0#unknown#no
10440##management#divorced#tertiary#no#675,0#no#yes#unknown#12#jun#2,0#-1,0#0#unknown#no
35954#45,0#management#divorced#tertiary#no#2237,0#yes#no#cellular#8#may#3,0#322,0#2#failure#no
15979#60,0#retired#divorced#primary#no#-137,0#yes#no#cellular#22#jul#1,0#-1,0#0#unknown#no
34561#39,0#housemaid#married#secondary#no#1372,0#yes#yes#cellular#5#may#1,0#355,0#1#failure#no
20185#46,0#self-employed#married#tertiary#no#2421,0#no#no#cellular#11#aug#4,0#-1,0#0#unknown#no
22055#33,0#management#single#tertiary#no#20794,0#no#no#cellular#20#aug#5,0#-1,0#0#unknown#no
18512#42,0#blue-collar#married#primary#no#517,0#yes#no#cellular#31#jul#7,0#-1,0#0#unknown#no
9457#35,0#unknown#married#unknown#no#0,0#no#no#unknown#6#jun#3,0#-1,0#0#unknown#no
4250#36,0#admin.#single#secondary#no#3457,0#no#no#unknown#19#may#4,0#-1,0#0#unknown#no
28195#47,0#retired#divorced#secondary#no#47,0#no#no#cellular#29#jan#1,0#-1,0#0#unknown#no
39253##blue-collar#single#primary#no#174,0#yes#no#cellular#18#may#3,0#-1,0#0#unknown#no
21042#35,0#housemaid#married#secondary#no#495,0#no#no#cellular#14#aug#4,0#-1,0#0#unknown#no
13518##retired#single#secondary#no#976,0#yes#no#cellular#9#jul#1,0#-1,0#0#unknown#no
43151#30,0#student#single#secondary#no#48,0#no#no#cellular#25#feb#1,0#191,0#2#success#yes
14817#31,0#management#single#tertiary#no#38279,0#no#no#cellular#16#jul#2,0#-1,0#0#unknown#no
43787#28,0#student#married#secondary#no#0,0#no#no#unknown#25#may#1,0#-1,0#0#unknown#no
30368#60,0#retired#married#tertiary#no#6684,0#yes#yes#cellular#5#feb#1,0#-1,0#0#unknown#no
31936#34,0#services#married#secondary#no#404,0#yes#no#cellular#9#apr#12,0#337,0#1#failure#no
24651#36,0#management#married#tertiary#no#7,0#yes#no#cellular#17#nov#2,0#-1,0#0#unknown#no
28913#36,0#admin.#single#secondary#no#115,0#no#no#cellular#2#feb#1,0#-1,0#0#unknown#no
32911#43,0#management#married#tertiary#no#175,0#yes#no#cellular#17#apr#4,0#337,0#1#other#no
12031#43,0#admin.#married#secondary#no#-879,0#yes#no#unknown#20#jun#4,0#-1,0#0#unknown#no
21667##management#married#tertiary#no#409,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
20674#59,0#admin.#married#tertiary#no#349,0#no#no#cellular#12#aug#4,0#-1,0#0#unknown#no
28630#28,0#admin.#single#secondary#no#775,0#no#no#cellular#29#jan#2,0#-1,0#0#unknown#no
33060#31,0#technician#single#secondary#no#538,0#yes#no#cellular#17#apr#3,0#-1,0#0#unknown#no
1623#32,0#blue-collar#married#secondary#no#536,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
20099#49,0#entrepreneur#married#secondary#no#348,0#no#no#cellular#11#aug#2,0#-1,0#0#unknown#no
35146#26,0#student#single#secondary#no#1209,0#yes#no#cellular#7#may#4,0#-1,0#0#unknown#no
31100#73,0#retired#married#tertiary#no#459,0#no#no#cellular#17#feb#1,0#-1,0#0#unknown#yes
10821#55,0#housemaid#divorced#primary#no#2014,0#no#no#unknown#17#jun#2,0#-1,0#0#unknown#no
30135#38,0#technician#married#tertiary#no#1042,0#yes#no#cellular#4#feb#2,0#-1,0#0#unknown#no
42472#61,0#retired#married#primary#no#421,0#no#no#cellular#10#dec#2,0#-1,0#0#unknown#no
36043#57,0#admin.#single#secondary#no#7400,0#yes#no#cellular#11#may#2,0#-1,0#0#unknown#no
12604#36,0#admin.#married#secondary#no#75,0#yes#no#unknown#4#jul#4,0#-1,0#0#unknown#no
43539#35,0#technician#married#secondary#no#2779,0#no#no#cellular#26#apr#2,0#186,0#2#success#yes
31711#35,0#entrepreneur#married#tertiary#no#1859,0#yes#no#cellular#7#apr#1,0#267,0#2#failure#no
10166####tertiary#no###no#unknown#11#jun###0#unknown#no
2559##unemployed#married#secondary#no#3478,0#yes#no#unknown#13#may#3,0#-1,0#0#unknown#no
16726#53,0#management#married#tertiary#no#602,0#yes#no#cellular#24#jul#2,0#-1,0#0#unknown#no
34543#25,0#technician#single#secondary#no#1833,0#yes#no#cellular#5#may#2,0#-1,0#0#unknown#no
33877#38,0#services#married#secondary#no#1970,0#yes#no#cellular#30#apr#1,0#176,0#1#success#yes
5761##unemployed#single#tertiary#no#97,0#yes#yes#unknown#26#may#1,0#-1,0#0#unknown#no
20881#39,0#blue-collar#married#primary#no#52,0#no#no#cellular#13#aug#1,0#-1,0#0#unknown#no
37544#38,0#management#divorced#tertiary#no#1149,0#yes#no#cellular#14#may#4,0#-1,0#0#unknown#no
31136#39,0#technician#married#secondary#no#2266,0#no#no#cellular#18#feb#4,0#-1,0#0#unknown#yes
15648#32,0#admin.#married#secondary#no#0,0#yes#no#cellular#21#jul#1,0#-1,0#0#unknown#no
11712#60,0#retired#married#secondary#no#1690,0#no#no#unknown#20#jun#4,0#-1,0#0#unknown#yes
24226#48,0#management#married#tertiary#no#3419,0#yes#no#cellular#17#nov#1,0#-1,0#0#unknown#no
303#57,0#retired#married#secondary#no#211,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
26218#50,0#entrepreneur#married#tertiary#no#8649,0#yes#no#cellular#20#nov#1,0#-1,0#0#unknown#no
6380#60,0#blue-collar#married#primary#no#93,0#no#yes#unknown#27#may#4,0#-1,0#0#unknown#no
23702#38,0#management#single#tertiary#no#0,0#no#no#cellular#28#aug#12,0#-1,0#0#unknown#no
14124#32,0#admin.#married#tertiary#no#0,0#yes#yes#cellular#11#jul#2,0#-1,0#0#unknown#no
17322#39,0#blue-collar#married#secondary#no#1439,0#yes#no#telephone#28#jul#6,0#-1,0#0#unknown#no
39906#38,0#technician#married#secondary#no#5115,0#yes#no#cellular#2#jun#1,0#95,0#7#success#yes
35117#30,0#blue-collar#married#secondary#no#-71,0#yes#no#cellular#6#may#2,0#-1,0#0#unknown#no
27850##technician#single#secondary#no#3244,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
28964#46,0#services#divorced#secondary#no#-179,0#no#no#cellular#2#feb#1,0#214,0#2#failure#no
17274#55,0#retired#married#secondary#no#1126,0#yes#no#telephone#28#jul#2,0#-1,0#0#unknown#no
23085#32,0#management#single#tertiary#yes#5,0#yes#no#cellular#26#aug#4,0#-1,0#0#unknown#no
5808#33,0#technician#single#secondary#no#1746,0#yes#no#unknown#26#may#2,0#-1,0#0#unknown#no
30782#30,0#management#single#tertiary#no#0,0#no#no#cellular#6#feb#4,0#-1,0#0#unknown#no
29929#46,0#technician#married#secondary#no#388,0#no#no#cellular#4#feb#9,0#7,0#1#other#no
34660#31,0#admin.#married#secondary#no#368,0#yes#no#cellular#5#may#5,0#361,0#3#other#no
12950#50,0#self-employed#divorced#tertiary#no#387,0#no#no#cellular#7#jul#8,0#-1,0#0#unknown#no
23454##technician#single#secondary#no#0,0#no#no#cellular#28#aug#10,0#-1,0#0#unknown#no
37824#39,0#blue-collar#single#secondary#no#0,0#yes#no#cellular#14#may#10,0#330,0#10#other#no
39620#46,0#technician#married#secondary#no#2501,0#no#no#cellular#26#may#1,0#-1,0#0#unknown#no
15862#29,0#management#single#tertiary#no#872,0#yes#no#cellular#21#jul#2,0#-1,0#0#unknown#no
44432##management#married#tertiary#no#2881,0#no#no#cellular#5#aug#2,0#2,0#5#other#no
43379#40,0#admin.#married#secondary#no#3126,0#yes#no#cellular#30#mar#2,0#90,0#5#failure#no
40528#52,0#technician#married#tertiary#no#523,0#yes#yes#cellular#8#jul#1,0#-1,0#0#unknown#no
34467#36,0#blue-collar#married#primary#no#378,0#yes#no#cellular#5#may#1,0#-1,0#0#unknown#yes
31220#49,0#management#married#tertiary#no#2881,0#no#no#cellular#2#mar#3,0#-1,0#0#unknown#yes
42834#66,0#retired#married#primary#no#3629,0#no#no#cellular#2#feb#1,0#172,0#2#other#yes
29731#59,0#retired#married#tertiary#no#941,0#no#yes#cellular#4#feb#1,0#210,0#1#failure#no
12415#41,0#blue-collar#married#primary#no#509,0#yes#no#unknown#30#jun#3,0#-1,0#0#unknown#no
22490#31,0#management#single#secondary#no#2,0#no#no#cellular#22#aug#4,0#-1,0#0#unknown#no
5598#31,0#blue-collar#single#tertiary#no#2197,0#yes#no#unknown#23#may#3,0#-1,0#0#unknown#no
38394#44,0#blue-collar#married#secondary#no#167,0#yes#no#cellular#15#may#2,0#373,0#1#failure#no
19648##services#married#primary#no#675,0#no#no#cellular#7#aug#2,0#-1,0#0#unknown#no
38911#44,0#blue-collar#single#primary#no#343,0#yes#yes#cellular#18#may#7,0#-1,0#0#unknown#no
12835#40,0#management#divorced#tertiary#no#492,0#no#yes#cellular#7#jul#2,0#-1,0#0#unknown#no
10216#49,0#services#single#secondary#no#133,0#no#no#unknown#11#jun#6,0#-1,0#0#unknown#no
27669#53,0#technician#divorced#secondary#no#173,0#no#yes#cellular#21#nov#2,0#143,0#1#failure#no
17061#30,0#management#single#tertiary#no#2,0#yes#yes#cellular#25#jul#8,0#-1,0#0#unknown#yes
21064##services#married#secondary#no#4263,0#no#no#cellular#14#aug#2,0#-1,0#0#unknown#no
9129#49,0#blue-collar#married#secondary#no#787,0#yes#no#unknown#5#jun#1,0#-1,0#0#unknown#no
32220#49,0#blue-collar#divorced#secondary#no#-464,0#yes#no#cellular#16#apr#1,0#-1,0#0#unknown#no
35899#46,0#blue-collar#married#secondary#no#-70,0#yes#no#cellular#8#may#2,0#-1,0#0#unknown#no
20433#33,0#technician#married#tertiary#no#980,0#no#no#cellular#12#aug#2,0#-1,0#0#unknown#no
15048#36,0#services#single#secondary#no#80,0#no#yes#cellular#17#jul#1,0#-1,0#0#unknown#no
2844#42,0#management#married#tertiary#no#1,0#no#no#unknown#14#may#1,0#-1,0#0#unknown#no
41407#83,0#retired#divorced#primary#no#0,0#no#no#telephone#3#sep#1,0#-1,0#0#unknown#no
6600##services#divorced#secondary#no#5766,0#yes#yes#unknown#28#may#1,0#-1,0#0#unknown#no
27933#45,0#services#married#secondary#no#-32,0#no#no#cellular#28#jan#2,0#-1,0#0#unknown#no
17068#27,0#management#married#tertiary#no#159,0#yes#no#cellular#25#jul#2,0#-1,0#0#unknown#no
28934#57,0#housemaid#divorced#tertiary#no#3767,0#no#no#cellular#2#feb#6,0#-1,0#0#unknown#no
25237#39,0#blue-collar#married#secondary#no#0,0#yes#no#cellular#18#nov#2,0#-1,0#0#unknown#no
21704#46,0#technician#single#secondary#no#0,0#no#no#cellular#19#aug#1,0#-1,0#0#unknown#no
43576#32,0#admin.#married#tertiary#no#284,0#yes#no#cellular#29#apr#3,0#-1,0#0#unknown#yes
5657#37,0#technician#married#secondary#no#-796,0#yes#yes#unknown#26#may#1,0#-1,0#0#unknown#no
25958#31,0#admin.#married#secondary#no#8295,0#yes#no#cellular#19#nov#1,0#-1,0#0#unknown#no
37823##housemaid#single#primary#no#1179,0#yes#no#cellular#14#may#1,0#337,0#4#failure#no
25049#44,0#management#divorced#tertiary#no#3340,0#no#no#unknown#18#nov#1,0#-1,0#0#unknown#no
888#40,0#blue-collar#married#secondary#no#306,0#yes#no#unknown#7#may#2,0#-1,0#0#unknown#no
3557#41,0#blue-collar#married#secondary#no#59,0#yes#no#unknown#15#may#8,0#-1,0#0#unknown#no
21088#47,0#blue-collar#married#secondary#no#232,0#yes#yes#cellular#14#aug#4,0#-1,0#0#unknown#no
22228#45,0#management#married#tertiary#no#-459,0#no#no#cellular#21#aug#6,0#-1,0#0#unknown#no
40801#42,0#services#single#tertiary#no#94,0#yes#no#cellular#11#aug#2,0#90,0#4#failure#yes
42095#33,0#management#married#tertiary#no#3301,0#yes#no#cellular#2#nov#2,0#171,0#2#failure#no
16752#28,0#technician#married#secondary#no#169,0#yes#no#cellular#24#jul#2,0#-1,0#0#unknown#no
